All Leads,AdDaptive Banners,AdDaptive Banners Impressions,AdDaptive Banners Clicks,AdDaptive Native,AdDaptive Native Impressions,AdDaptive Native Clicks
UPS,True,4183,5,True,2338,6
Wells Fargo Bank National Association,True,6286,13,True,4703,20
Workday,True,314,1,True,491,1
Accenture,True,29521,33,True,14078,18
Abbott,True,620,1,True,1216,2
allianz global assistance thailand,True,29,0,True,35,0
Xcel Energy Inc,True,169,0,True,165,0
AbbVie,True,165,0,True,199,0
Visa,True,117,1,True,117,1
Citizens Bank,True,424,2,True,542,0
ANZ,True,3,0,True,5,0
American Airlines,True,7567,12,True,9502,30
BD,True,7,0,True,6,0
Amgen,True,185,0,True,212,1
Atos,True,403,3,True,471,2
Bayer AG,True,114,0,True,105,0
Charles Schwab,True,313,2,True,301,1
Ally Financial Inc.,True,247,0,True,288,0
Amazon,True,5876,10,True,4423,5
Capital One Bank,True,1459,5,True,2123,9
Cisco Systems,True,7389,3,True,3090,8
At&T,True,30497,83,True,34777,75
"The Vanguard Group, Inc.",True,10593,28,True,13578,37
U.S. Bank,True,1133,2,True,1233,2
TSYS,True,1534,3,True,2130,6
"United Parcel Service, Inc.",True,428,1,True,435,1
T-Mobile,True,20920,42,True,23190,51
RBC Capital Markets,True,2705,4,True,3486,2
Schlumberger Limited,True,81,2,True,150,1
TD,True,2696,4,True,3744,10
Tennessee Department of Health,True,1684,3,True,2291,6
Fidelity Investments,True,339,0,True,439,1
Freddie Mac,True,2,0,True,2,0
GEICO Corp,True,900,1,True,967,2
Gilead Sciences,True,64,0,True,116,0
Lincoln Financial Group,True,128,0,True,129,0
HCA Inc,True,1617,7,True,1820,5
NOVARTIS,True,532,5,True,827,1
Intel Corporation,True,459,0,True,642,0
General Dynamics,True,483,1,True,410,0
Nasdaq,True,695,1,True,825,0
Progressive Casualty Insurance Company.,True,627,3,True,864,0
Prudential Financial,True,1302,1,True,1663,5
NCR Corporation,True,796,2,True,1095,3
Medtronic Usa Inc,True,237,1,True,292,0
Cognizant,True,6653,6,True,2786,1
"Becton, Dickinson And Company",True,7,0,True,6,0
Burlington Nthrn Santa Fe Llc,True,7,0,True,6,0
Deloitte,True,1592,4,True,2344,2
Cerner Corporation,True,71,0,True,62,0
Danone,True,2,0,True,1,0
State Of Tennessee,True,5544,9,True,7040,18
ADP,True,60,1,True,50,0
Cibc,True,3782,0,True,1429,0
Manulife Financial Corporation,True,64,0,True,103,0
Bank Of New York Mellon Corp,True,1131,1,True,1025,2
Bny Mellon,True,146,0,True,208,0
Geisinger Health System,True,250,0,True,112,0
Federal Deposit Insurance Corporation,True,12970,10,True,8425,14
Dell Technologies,True,139,0,True,185,2
Memorial Sloan Kettering Cancer Center,True,1181,2,True,1510,4
Metlife,True,1905,3,True,2400,6
Corning,True,327,1,True,589,1
British Telecommunications Plc,True,7,0,True,6,0
"Tiaa, Fsb",True,1702,3,True,2320,6
Rcb Bank,False,0,0,False,0,0
Bnsf,True,28,0,True,43,0
NATIONWIDE,True,1193,1,True,1491,5
LPL FINANCIAL,True,4078,12,True,5428,15
Horizon Blue Cross Blue Shield of New Jersey,True,1,0,True,1,0
"Toronto-Dominion Bank, The",True,1526,3,True,2112,6
Ey,True,2,0,True,1,0
Duke Energy Corporation,True,440,5,True,426,0
Infosys,True,9,0,True,18,0
Tata Consultancy Services,True,1791,4,True,2355,6
Tjx Companies,True,1526,3,True,2112,6
DoorDash,False,0,0,False,0,0
RBC Capital Markets,True,2705,4,True,3486,2
State Farm Mutual Automobile Insurance Company,True,5544,9,True,7040,18
Tennessee Department of Health,True,1684,3,True,2291,6
Tennessee Department of Transportation,True,1684,3,True,2291,6
