_key,impressions,page_views
3M,77,0
ABB,94,0
Abbot Labratories,4260,0
ADP,31,0
Aetna,1707,0
AIG,14,0
Alaska Air,27,0
All State,5,0
Ally,11,20
Altria,28,0
Amazon,3262,7
American Airlines,381,0
American Express,7906,0
American Red Cross,4775,0
AmerisourceBergen,8,0
Ametek,13,0
Amgen,87,0
Amkor,136,0
Anthem,35457,0
Anthem Health,16,0
Apple,62,8
Aramark,9380,0
Asplundh Tree Expert,45,0
AT&T,4104,0
Atlas Holdings,2162,0
Autoliv,90,0
Avaya,0,0
AXA XL,1113,0
Axel Johnson,167,0
B. Braun Medica,0,0
Baker Hughes,1255,0
Bank of America,570,0
Bank of Canada,12,0
Bank of England,2248,0
Banner Health,5197,0
Barclays,1118,0
BBC,280,0
Beaumont,3,0
Bell,101,0
Beneva,159,0
Berry Global,21,0
BlackRock,153,0
BMO,0,0
BNP Paribas,319,0
BNY Mellon,275,0
Boeing,133,0
Bombardier,443,0
Borg Warner,20,0
Boyd Gaming,283,0
Bristol Myers Squibb,100,0
British Medical Association,0,0
Brookfield,1645,0
Brown Brothers Harriman,23612,0
BT,0,0
C&S Wholesale Grocers,0,0
Caesar's Entertainment,0,0
Canada Life,27,0
Canada Post,22,0
Canadian National,7,0
Canadian Pacific Railway,71,0
Canadian Tire,0,0
Capital One,533,0
Car Max,22,0
Cardinal Health,345,0
Catepillar,5964,0
Celanes,0,0
CenterPoint Energy,1,0
CGI,0,0
Charles Schwab,1268,1
Charter Communications,221,0
Chase,156,1
Chemours,34,0
Chevron,23860,1
China Investment,1664,0
CIBC,2,0
Cigna,0,0
Cisco,596,16
Citi,3065,0
Citizens Financial Group,0,0
Cleveland Clinic,46,0
CNO Financial Group,68,0
Coca Cola,410,0
Cognizant,50,0
Comcast,22,0
Comerica Banl,0,0
Commerzbank,212,0
Common Spirit (Dignity Health),0,0
Constellation Software,8,0
Cooper Standard,268,0
Costco,0,0
Credit Suisse,0,0
Cummins,17,0
CVS Health,244,0
Dana Corp,2,0
Danaher Corporation,343,4
Davita,1052,0
DEFRA,6,0
Dell,41,0
Delta Airlines ,72,0
Desajrdins,0,0
Discount Tire,107,0
Discover,68,0
Dish Network,31908,0
Disney,1565,0
DoJ,13,0
DOW,121,0
Drax,71,0
DTE Energy,201,0
Duff & Phelps,286,0
Duke Energy,169,0
Dupont,0,0
DWP,51,0
e3 Group,2,0
Eagle Strategies,77,0
eBay,6,3
ECO Labs,0,0
ED&F Man,1473,0
EDP,671,0
Edward Jones,24401,0
Eli Lilly,8,0
Emerson Electric,6,0
Enbridge,69,0
Encompass Health,342,0
Entergy,0,0
Equitable,795,0
Equitable Holdings,1506,0
Erasmus University,0,0
Excelon/Balt GE,0,0
Expedia,2296,2
Experian,412,11
ExxonMobil,482,0
Facebook,5,9
Fairfax Financial Holdings,4368,0
Fannie Mae,188,2
Farmers Insurance,87665,0
Fed EX,146,0
Federal Home Loan Bank of New York,3248,0
Feds,39,0
Fidelity,4762,0
Fidelty National,14,0
Fifth Third Bank,83764,0
First American Financial,7,0
FISERV,291,0
Five Star Bank,1699,0
Flagstar,0,0
Florida Power,7,0
Flowserve,15,0
FMC,31,0
Ford Motor,262,0
Fortis,242,0
Fox Entertainment,311,0
Franklin Templeton/Legg,0,0
Fresenius Medical Care North America,8145,0
Freshfields,11,0
Fujitsu,1,6
Gap,532,0
Gap Inc,0,0
Gateway Health,18,0
GDMS,42,0
GE Capital,2217,0
Geico,1535,0
Geisinger Health,2053,0
General Atomics,607,1
General Electric,49,0
General Mills,50,0
General Motors,1536,0
Genesys,304,0
Genuine Parts,495,0
Genworth,15,0
Godaddy,278,0
Goldman Sachs,2264,0
Google,473,0
Great West Life,24,0
Greystone,737,0
Guardian Insurance,203,0
Halliburton,0,0
Hasbro Inc,442,0
HCA Healthcare,128,0
Highmark,0,0
Home Credit,137,0
Hometown Financial Group,134,0
Honeywell,3722,0
HP,2695,0
Huntington Bancshares,297,2
Hydro One,0,0
iHeart Media,283,0
Industrial Alliance,0,0
ING,118,0
Intact Insurance,0,0
Intermountain Health,125,0
Irving,6,0
iSOC24,0,0
J2,3,0
Jabil,1,0
Jefferies,9,0
John Deere,62,0
John Hancock,1182,0
Johnson & Johnson,0,0
JPMorgan Chase,11,0
KBC Group,269,0
Keybank,430,0
Kinder Morgan,2481,2
KKR,0,0
Konica Minolta Business ,109,0
KP,0,0
LabCorp,0,0
Laurentian Bank,0,0
Lear,91,0
Levi Strauss & Co.,5762,0
Liberty Mutual Insurance,2433,0
LifeLabs,0,0
Lithia Motors,5185,0
Loblaw,0,0
London Metal Exchange,0,0
LuLu Lemon,32,0
Lumen,600,0
LV Sands,0,0
M&T Bank,0,0
MAGNA International,0,0
Manulife,468,0
Marathon Petroleum,1,0
Marriott,12026,0
Marsh & McLennan Companies,278,0
MassMutual,197,0
Mastercard,0,0
Maximus,1493,0
Medstar,60,0
Merrill,109,0
Met Police ,0,0
MGM Resorts International,2498,0
Microchip Technologies,20,0
Micron,0,0
Microsoft,49,1
Ministry of Justice,0,0
Mirae Asset Global Investments,7138,0
Mizuho Bank,258,0
MoD,96,0
Morgan Stanley,25008,9
Motorola,116,0
Mt Sinai,318,0
MUFG Americas,869,0
MvD,18,0
NAI Global,952,0
Nanova,54,0
Nasdaq,26270,0
National Bank of Canada,3235,0
NATO,205,0
Navy Fed CU,0,0
Navy Federal Credit Union (NFCU),11187,0
New York Stock Exchange,3121,0
NHS,23,0
Nike,0,0
Nissan Motors,0,0
Nordstrom,52661,0
NOV,28,0
Nova Scotia Power,0,9
Nuvias,26,0
NXP,0,0
Oak Hill Capital,642,0
Occidental ,191,0
On Semi,0,7
One Main Financial,29725,0
OpenText,7,0
Oracle,1714,0
Pacific Gas and Electric,7497,0
Parker,63,0
Parkland Fuel,0,0
PayPal,1294,0
PBI Group,4,0
Permira,1028,0
PetCo,141,0
PetSmart,0,0
Pfizer,2066,0
Power Corporation,42,0
Pricipal Financial,0,0
Prime Health Care,18,4
Proctor & Gamble,1,0
Progressive Insurance,2515,0
Providence Health,31,0
PwC,1333,42
Raytheon Technologies,2591,0
RBC,242,0
RBS,3942,0
Regions Bank,37415,0
Restaurant Brands International,0,0
Rock Central,538,0
Rogers,76,0
S&P Global,7445,0
Safeway / Albertson's,0,0
salesforce.com,0,11
Sallie Mae,74,0
San Diego Gas and Electric,246,0
Santander Bank,1755,0
Saputo,0,0
Schroders,263,0
Schwab,0,0
Sci Games,0,0
Scotia Gas Networks,0,0
Scotiabank,14,0
SEI,671,0
SG CIB's,0,0
SH LLP,0,0
Sharp Health,0,0
Shaw Communications,0,0
Shopify,43,0
SignPost Six,0,0
Societe Generale,1092,0
Softcat,46,0
Sony Pictures Entertainment,690,0
Southwest Airlines,9,0
Spectrum,9523,0
Standard Bank,7,0
Standard Chartered Bank,1791,0
Stanley Black & Decker,351,0
Starbucks,146547,0
State Farm,24206,0
State of Connecticut,262,0
State Street,31816,0
Stryker,126,0
Suncor,0,0
Sunlife Financial,215,0
Sutter Health,6097,0
Synchrony Financial,1291,0
T. Rowe Price,21,0
TC Energy,283,0
TD,23,0
TD Ameritrade,280,0
TELCEL,29,0
Telus,15,0
Temple University,315,0
Terra Firma,223,0
Tesla,350,0
The Blackstone Group,62,0
The Hartford,617,0
The Hartford Financial Services Group,1586,0
The Kraft Group,18,0
The Olayan Group,0,0
Thermo Fisher Scientific,0,1
Thomson Reuters,1341,0
TIAA,848,0
TJX Companies,0,0
T-Mobile,62063,0
TMX,25,0
Toronto District School Board,2481,0
Toyoda Gosei,1,0
Travelers,1391,0
Truist,87476,2
Turkish DoD,0,0
U.S. Trust,0,0
Uber,12232,0
UMMS,176,0
UNFI,58,0
Unisys,27,0
United Airlines,868,0
United Health ,1616,0
United States Postal Service,630012,2
Universal Health Services,152,0
UPS,69,0
US Banc Corp.,0,0
USAA,102,2
Valero ,13498,0
Vanguard,427,0
Verizon,2922,0
Victorius Crew,0,0
Visa,10,0
W Hotels Worldwide,0,0
Walmart,0,2
Wayfair,16,0
Wells Fargo,1857,11
West Pharmaceutical Services,278,0
Western Digital,37,0
Western Union,22415,0
Whirlpool,353,0
WL Gore,36,0
Wynn Resorts,118,0
XPO Logistics,9069,0
ZCG,88,0
Zimmer Biomet,123,0
Zions Banc,0,0
"ABBTECH Professional Resources, Inc.",304,0
AbbVie,26,20
Accenture,15817,5
Accenture Federal Services,161,0
ACI Worldwide,44,0
Activision,211,0
Actuarial Students'â€‹ Society at Macquarie University,0,0
Adobe,3101,0
AEVEX Aerospace,17,0
Air Force Civilian Service,0,0
Air Force Office of Special Investigations (AFOSI),0,0
Airbnb,2788,0
Akima,789,0
A-LIGN,93,0
Allegis Group,210,0
Allied Universal,7226,0
Amazon Web Services (AWS),0,0
Amentum,0,0
American,297,0
American Family Insurance,45940,0
American Public University System,27,0
AMI Expeditionary Healthcare,0,0
Amtrak,282,0
"Anthem, Inc.",0,0
ANZ,510,0
Aon,378,0
APi Group,9,0
Applied Insight LLC,57,0
Applied Materials,86,0
ARA,97,0
Archer Daniels Midland Company,8230,0
